package_name,category,subcategory,framework,ecosystem
openlineage-integration-common,Application Integration,Service Integration Frameworks,Openlineage-integration-common,python
mkdocs-material,Developer Tooling,Code Generators,Mkdocs-material,python
ciso8601,Utility Libraries,Date & Time Utilities,Ciso8601,python
litellm,Utility Libraries,General Utilities,Litellm,python
google,Utility Libraries,General Utilities,Google,python
kfp,Application Integration,Service Integration Frameworks,Kfp,python
typed-ast,Utility Libraries,General Utilities,Typed-ast,python
xarray,Utility Libraries,Collections & Data Structures,Xarray,python
cfn-flip,Utility Libraries,General Utilities,Cfn-flip,python
types-pyopenssl,Utility Libraries,General Utilities,Types-pyopenssl,python
pdfminer-six,Utility Libraries,General Utilities,Pdfminer-six,python
adlfs,Data Management,Data Lakes,Adlfs,python
gql,Application Integration,RPC & Web Services,Gql,python
thrift-sasl,Application Integration,Messaging Protocols,Thrift-sasl,python
stripe,Application Integration,RPC & Web Services,Stripe,python
orderly-set,Utility Libraries,Collections & Data Structures,Orderly-set,python
starkbank-ecdsa,Security,Transport Security,Starkbank-ecdsa,python
python-levenshtein,Utility Libraries,General Utilities,Python-levenshtein,python
towncrier,Developer Tooling,Code Generators,Towncrier,python
microsoft-kiota-serialization-text,Serialization,JSON & XML,Microsoft-kiota-serialization-text,python
grpc-interceptor,Application Integration,RPC & Web Services,Grpc-interceptor,python
cssselect2,Utility Libraries,General Utilities,Cssselect2,python
pgvector,Data Management,Relational Databases,Pgvector,python
apache-airflow-providers-slack,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-slack,python
methodtools,Utility Libraries,General Utilities,Methodtools,python
mypy-boto3-appflow,Utility Libraries,General Utilities,Mypy-boto3-appflow,python
azure-storage-common,Application Integration,Service Integration Frameworks,Azure-storage-common,python
microsoft-kiota-serialization-json,Serialization,JSON & XML,Microsoft-kiota-serialization-json,python
jax,Utility Libraries,Collections & Data Structures,Jax,python
pycrypto,Security,Transport Security,Pycrypto,python
geopandas,Utility Libraries,Collections & Data Structures,Geopandas,python
junit-xml,Utility Libraries,General Utilities,Junit-xml,python
pyotp,Security,Authentication & Authorization,Pyotp,python
langdetect,Utility Libraries,General Utilities,Langdetect,python
types-toml,Utility Libraries,General Utilities,Types-toml,python
contextlib2,Utility Libraries,General Utilities,Contextlib2,python
aiohttp-retry,Resilience & Control,Retries & Backoff,Aiohttp-retry,python
apache-airflow-providers-ftp,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-ftp,python
boto,Application Integration,Service Integration Frameworks,Boto,python
appnope,Utility Libraries,General Utilities,Appnope,python
lightning-utilities,Utility Libraries,General Utilities,Lightning-utilities,python
azure-keyvault-certificates,Security,Secrets Management,Azure-keyvault-certificates,python
pathable,Utility Libraries,General Utilities,Pathable,python
fire,Developer Tooling,Code Generators,Fire,python
sphinxcontrib-jquery,Developer Tooling,Code Generators,Sphinxcontrib-jquery,python
pyserial,Utility Libraries,General Utilities,Pyserial,python
natsort,Utility Libraries,General Utilities,Natsort,python
strictyaml,Serialization,JSON & XML,Strictyaml,python
textual,Application Development,Web Frameworks,Textual,python
pytest-random-order,Testing & Quality,Testing Frameworks,Pytest-random-order,python
jellyfish,Utility Libraries,General Utilities,Jellyfish,python
fasttext-wheel,Utility Libraries,General Utilities,Fasttext-wheel,python
wirerope,Utility Libraries,General Utilities,Wirerope,python
geographiclib,Utility Libraries,Collections & Data Structures,Geographiclib,python
azure-mgmt-datalake-store,Application Integration,Service Integration Frameworks,Azure-mgmt-datalake-store,python
shap,Utility Libraries,Collections & Data Structures,Shap,python
timm,Utility Libraries,General Utilities,Timm,python
atlassian-python-api,Application Integration,Service Integration Frameworks,Atlassian-python-api,python
slicer,Utility Libraries,General Utilities,Slicer,python
pep517,Developer Tooling,Build Tools,Pep517,python
geopy,Utility Libraries,General Utilities,Geopy,python
weasel,Utility Libraries,General Utilities,Weasel,python
typing,Utility Libraries,General Utilities,Typing,python
meson,Developer Tooling,Build Tools,Meson,python
types-cffi,Utility Libraries,General Utilities,Types-cffi,python
reportlab,Utility Libraries,General Utilities,Reportlab,python
pycares,Utility Libraries,General Utilities,Pycares,python
pathlib-abc,Utility Libraries,General Utilities,Pathlib-abc,python
azure-keyvault,Security,Secrets Management,Azure-keyvault,python
aniso8601,Utility Libraries,Date & Time Utilities,Aniso8601,python
opencensus-ext-azure,Observability,Metrics,Opencensus-ext-azure,python
prison,Utility Libraries,General Utilities,Prison,python
factory-boy,Testing & Quality,Testing Frameworks,Factory-boy,python
pyhcl,Utility Libraries,General Utilities,Pyhcl,python
ray,Application Development,Web Frameworks,Ray,python
jsonschema-path,Serialization,JSON & XML,Jsonschema-path,python
teradatasql,Data Management,Relational Databases,Teradatasql,python
pyiceberg,Data Management,Data Lakes,Pyiceberg,python
iso8601,Utility Libraries,Date & Time Utilities,Iso8601,python
pyarrow-hotfix,Data Management,Data Warehousing,Pyarrow-hotfix,python
maxminddb,Utility Libraries,General Utilities,Maxminddb,python
onnx,Utility Libraries,General Utilities,Onnx,python
opentelemetry-instrumentation-flask,Observability,Tracing,Opentelemetry-instrumentation-flask,python
jsondiff,Utility Libraries,General Utilities,Jsondiff,python
bottle,Application Development,Web Frameworks,Bottle,python
netaddr,Utility Libraries,General Utilities,Netaddr,python
clickclick,Utility Libraries,General Utilities,Clickclick,python
iso3166,Utility Libraries,General Utilities,Iso3166,python
prefect,Application Integration,ETL & Data Pipelines,Prefect,python
